Ticker;Nome do ativo / Código de negociação;CNPJ;Custódia corretora;CNPJ corretora;Preço Médio;Quantidade;Saldo em 31/12/2022;Saldo em 31/12/2023;País
AZUL4;AZUL PN N2;09.305.994/0001-29;MODAL DTVM;05.389.174/0001-01;R$ 31,44;0;R$ 12.575,00;R$ 0,00;BR
AZUL4;AZUL PN N2;09.305.994/0001-29;XP INVESTIMENTOS CCTVM;02.332.886/0001-04;R$ 17,40;400;R$ 0,00;R$ 6.960,00;BR
BRKM5;BRASKEM PNA N1;42.150.391/0001-70;MODAL DTVM;05.389.174/0001-01;R$ 33,18;0;R$ 6.636,00;R$ 0,00;BR
BHIA3;CASAS BAHIA ON NM;33.041.260/0652-90;MODAL DTVM;05.389.174/0001-01;R$ 0,00;0;R$ 3.334,00;R$ 0,00;BR
BHIA3;CASAS BAHIA ON NM;33.041.260/0652-90;XP INVESTIMENTOS CCTVM;02.332.886/0001-04;R$ 14,25;8;R$ 0,00;R$ 114,00;BR
COGN3;COGNA ON ON NM;02.800.026/0001-40;MODAL DTVM;05.389.174/0001-01;R$ 6,39;0;R$ 3.194,00;R$ 0,00;BR
COGN3;COGNA ON ON NM;02.800.026/0001-40;XP INVESTIMENTOS CCTVM;02.332.886/0001-04;R$ 2,98;500;R$ 0,00;R$ 1.490,00;BR
IRBR3;IRBBRASIL REON NM;33.376.989/0001-91;MODAL DTVM;05.389.174/0001-01;R$ 0,00;0;R$ 5.109,00;R$ 0,00;BR
ITSA4;ITAUSA PN N1;61.532.644/0001-15;MODAL DTVM;05.389.174/0001-01;R$ 8,19;0;R$ 1.802,00;R$ 0,00;BR
ITSA4;ITAUSA PN N1;61.532.644/0001-15;XP INVESTIMENTOS CCTVM;02.332.886/0001-04;R$ 9,48;351;R$ 1.148,00;R$ 3.326,00;BR
ITUB4;ITAUUNIBANCOPN N1;60.872.504/0001-23;MODAL DTVM;05.389.174/0001-01;R$ 24,12;0;R$ 2.418,00;R$ 0,00;BR
ITUB4;ITAUUNIBANCOPN N1;60.872.504/0001-23;XP INVESTIMENTOS CCTVM;02.332.886/0001-04;R$ 30,89;200;R$ 0,00;R$ 6.178,00;BR
KLBN4;KLABIN S/A PN N2;89.637.490/0001-45;MODAL DTVM;05.389.174/0001-01;R$ 3,86;0;R$ 772,00;R$ 0,00;BR
KLBN4;KLABIN S/A PN N2;89.637.490/0001-45;XP INVESTIMENTOS CCTVM;02.332.886/0001-04;R$ 4,66;200;R$ 0,00;R$ 932,00;BR
RENT3;LOCALIZA ON NM;16.670.085/0001-55;MODAL DTVM;05.389.174/0001-01;R$ 54,59;0;R$ 5.556,00;R$ 0,00;BR
RENT3;LOCALIZA ON NM;16.670.085/0001-55;XP INVESTIMENTOS CCTVM;02.332.886/0001-04;R$ 61,33;300;R$ 6.360,00;R$ 18.400,00;BR
MGLU3;MAGAZ LUIZA ON EG NM;47.960.950/0001-21;MODAL DTVM;05.389.174/0001-01;R$ 18,48;0;R$ 5.545,00;R$ 0,00;BR
MGLU3;MAGAZ LUIZA ON EG NM;47.960.950/0001-21;XP INVESTIMENTOS CCTVM;02.332.886/0001-04;R$ 2,08;300;R$ 0,00;R$ 624,00;BR
MRFG3;MARFRIG ON NM;03.853.896/0001-40;XP INVESTIMENTOS CCTVM;02.332.886/0001-04;R$ 9,81;200;R$ 0,00;R$ 1.962,00;BR
OIBR4;OI PN N1;76.535.764/0001-43;MODAL DTVM;05.389.174/0001-01;R$ 16,82;0;R$ 1.345,71;R$ 0,00;BR
PETZ3;PETZ ON NM;18.328.118/0001-09;MODAL DTVM;05.389.174/0001-01;R$ 17,04;0;R$ 3.408,00;R$ 0,00;BR
PETZ3;PETZ ON NM;18.328.118/0001-09;XP INVESTIMENTOS CCTVM;02.332.886/0001-04;R$ 4,17;200;R$ 0,00;R$ 834,00;BR
QUAL3;QUALICORP ON NM;11.992.680/0001-93;MODAL DTVM;05.389.174/0001-01;R$ 35,33;0;R$ 3.533,00;R$ 0,00;BR
QUAL3;QUALICORP ON NM;11.992.680/0001-93;XP INVESTIMENTOS CCTVM;02.332.886/0001-04;R$ 2,84;100;R$ 0,00;R$ 284,00;BR
RAIZ4;RAIZEN PN N2;33.453.598/0001-23;MODAL DTVM;05.389.174/0001-01;R$ 6,83;0;R$ 1.366,00;R$ 0,00;BR
RAIZ4;RAIZEN PN N2;33.453.598/0001-23;XP INVESTIMENTOS CCTVM;02.332.886/0001-04;R$ 3,65;200;R$ 0,00;R$ 730,00;BR
CSNA3;SID NACIONALON;33.042.730/0001-04;MODAL DTVM;05.389.174/0001-01;R$ 24,86;0;R$ 2.486,00;R$ 0,00;BR
CSNA3;SID NACIONALON;33.042.730/0001-04;XP INVESTIMENTOS CCTVM;02.332.886/0001-04;R$ 16,02;100;R$ 0,00;R$ 1.602,00;BR
SUZB3;SUZANO S.A. ON NM;16.404.287/0001-55;XP INVESTIMENTOS CCTVM;02.332.886/0001-04;R$ 55,03;100;R$ 0,00;R$ 5.503,00;BR
VALE3;VALE ON NM;33.592.510/0001-54;MODAL DTVM;05.389.174/0001-01;R$ 72,15;0;R$ 7.280,00;R$ 0,00;BR
VALE3;VALE ON NM;33.592.510/0001-54;XP INVESTIMENTOS CCTVM;02.332.886/0001-04;R$ 74,85;200;R$ 0,00;R$ 14.970,00;BR
VIVA3;VIVARA S.A. ON NM;33.839.910/0001-11;XP INVESTIMENTOS CCTVM;02.332.886/0001-04;R$ 32,49;100;R$ 3.249,00;R$ 3.249,00;BR
ALZR11;FII ALIANZA CI ER;28.737.771/0001-85;XP INVESTIMENTOS CCTVM;02.332.886/0001-04;R$ 116,21;16;R$ 0,00;R$ 1.859,42;BR
BCFF11;FII BC FFII CI;11.026.627/0001-38;MODAL DTVM;05.389.174/0001-01;R$ 85,50;0;R$ 1.710,00;R$ 0,00;BR
BCFF11;FII BC FFII CI;11.026.627/0001-38;XP INVESTIMENTOS CCTVM;02.332.886/0001-04;R$ 9,00;200;R$ 378,75;R$ 1.799,15;BR
BRCR11;FII BC FUND CI;08.924.783/0001-01;XP INVESTIMENTOS CCTVM;02.332.886/0001-04;R$ 81,82;3;R$ 245,46;R$ 245,46;BR
BTCI11;FII BTG CRI CI;09.552.812/0001-14;XP INVESTIMENTOS CCTVM;02.332.886/0001-04;R$ 9,27;9;R$ 83,42;R$ 83,42;BR
BTCR11;FII BTG CRI CI;;XP INVESTIMENTOS CCTVM;02.332.886/0001-04;R$ 92,99;1;R$ 92,99;R$ 92,99;BR
BTLG11;FII BTLG CI;11.839.593/0001-09;MODAL DTVM;05.389.174/0001-01;R$ 107,09;0;R$ 2.141,72;R$ 0,00;BR
BTLG11;FII BTLG CI;11.839.593/0001-09;XP INVESTIMENTOS CCTVM;02.332.886/0001-04;R$ 99,53;20;R$ 0,00;R$ 1.990,60;BR
HGCR11;FII CSHG CRICI;11.160.521/0001-22;XP INVESTIMENTOS CCTVM;02.332.886/0001-04;R$ 102,70;42;R$ 1.224,60;R$ 4.313,22;BR
GGRC11;FII GGRCOVEPCI;26.614.291/0001-00;XP INVESTIMENTOS CCTVM;02.332.886/0001-04;R$ 113,81;21;R$ 116,20;R$ 2.390,00;BR
HGBS11;FII HEDGEBS CI;08.431.747/0001-06;MODAL DTVM;05.389.174/0001-01;R$ 205,20;0;R$ 1.026,00;R$ 0,00;BR
HGBS11;FII HEDGEBS CI;08.431.747/0001-06;XP INVESTIMENTOS CCTVM;02.332.886/0001-04;R$ 223,63;5;R$ 0,00;R$ 1.118,15;BR
